datetime,open,max,min,close,volume,,,,,,,
 2015/05/27-14:00,4917.49,4935.49,4888.19,4931.44,20352112,4449.23,4400.61,           ,           ,           ,           ,           
 2015/05/27-15:00,4932.11,4957.65,4928.79,4941.71,25281913,4461.1,4407.32,           ,           ,           ,           ,           
 2015/05/28-10:30,4943.74,4976.4,4907.15,4975.87,39376269,4474.43,4414.18,           ,           ,           ,           ,           
 2015/05/28-11:30,4976.47,4985.79,4870.6,4872.46,27606954,4486.14,4420.7,           ,           ,           ,           ,           
 2015/05/28-14:00,4871.6,4874.42,4803.95,4812.08,23824694,4497.2,4426.27,           ,           ,           ,           ,           
 2015/05/28-15:00,4811.9,4832.3,4614.24,4620.27,33984681,4505.67,4430.74,           ,           ,           ,           ,           
 2015/05/29-10:30,4603.47,4663.28,4431.56,4644.66,40927463,4513.9,4435.15,           ,           ,           ,           ,           
 2015/05/29-11:30,4644.35,4644.55,4572.51,4626,14385541,4521.6,4439,           ,           ,           ,           ,           
 2015/05/29-14:00,4625.87,4698.08,4625.87,4666.89,17526370,4530.5,4443.27,           ,           ,           ,           ,           
 2015/05/29-15:00,4665.86,4666.08,4529.07,4611.74,22697180,4537.27,4446.75,           ,           ,           ,           ,           
 2015/06/01-10:30,4633.1,4700.61,4615.3,4695.91,34741307,4544.66,4450.23,           ,           ,           ,           ,           
 2015/06/01-11:30,4695.21,4739.44,4695.21,4739.33,17005425,4552.72,4454.05,           ,           ,           ,           ,           
 2015/06/01-14:00,4741.8,4798.53,4741.51,4796.86,18787414,4561.08,4458.29,           ,           ,           ,           ,           
 2015/06/01-15:00,4797.42,4829.44,4779.83,4828.74,22911398,4569.33,4462.8,           ,           ,           ,           ,           
 2015/06/02-10:30,4844.7,4883.84,4803.69,4864.93,37544164,4577.66,4467.52,           ,           ,           ,           ,           
 2015/06/02-11:30,4865.2,4894.42,4808.12,4826.86,22145767,4585.4,4471.65,           ,           ,           ,           ,           
 2015/06/02-14:00,4827.69,4850.73,4798.09,4844.58,17551431,4592.96,4476.7,           ,           ,           ,           ,           
 2015/06/02-15:00,4844.73,4911.57,4844.06,4910.53,22633210,4601.45,4482.48,           ,           ,           ,           ,           
 2015/06/03-10:30,4924.38,4940.49,4881.61,4928.02,39473970,4610.38,4488.46,           ,           ,           ,           ,           
 2015/06/03-11:30,4928.85,4941.81,4823.01,4860.58,24964857,4618.14,4493.52,           ,           ,           ,           ,           
 2015/06/03-14:00,4860.19,4910.7,4825.32,4898.31,16082271,4626.56,4499.03,           ,           ,           ,           ,           
 2015/06/03-15:00,4897.72,4925.94,4870.17,4909.98,20496894,4635.46,4504.16,           ,           ,           ,           ,           
 2015/06/04-10:30,4912.95,4946.05,4858.75,4917.3,37032328,4644.94,4508.92,           ,           ,           ,           ,           
 2015/06/04-11:30,4917.3,4936.07,4822.38,4822.42,20233551,4652.19,4512.69,           ,           ,           ,           ,           
 2015/06/04-14:00,4817.11,4817.11,4648.3,4781.43,25009382,4659.01,4516.3,           ,           ,           ,           ,           
